listingID,symbol,name,active,tracked
1,MMM,3M Company,1,1
2,ABT,Abbott Laboratories,1,1
3,ABBV,AbbVie Inc.,1,1
4,ABMD,ABIOMED Inc,1,1
5,ACN,Accenture plc,1,1
6,ATVI,Activision Blizzard,1,1
7,ADBE,Adobe Inc.,1,1
8,AMD,Advanced Micro Devices Inc,1,1
9,AAP,Advance Auto Parts,1,1
10,AES,AES Corp,1,1
11,AFL,AFLAC Inc,1,1
12,A,Agilent Technologies Inc,1,1
13,APD,Air Products & Chemicals Inc,1,1
14,AKAM,Akamai Technologies Inc,1,1
15,ALK,Alaska Air Group Inc,1,1
16,ALB,Albemarle Corp,1,1
17,ARE,Alexandria Real Estate Equities,1,1
18,ALXN,Alexion Pharmaceuticals,1,1
19,ALGN,Align Technology,1,1
20,ALLE,Allegion,1,1
21,LNT,Alliant Energy Corp,1,1
22,ALL,Allstate Corp,1,1
23,GOOGL,Alphabet Inc. (Class A),1,1
24,GOOG,Alphabet Inc. (Class C),1,1
25,MO,Altria Group Inc,1,1
26,AMZN,Amazon.com Inc.,1,1
27,AMCR,Amcor plc,1,1
28,AEE,Ameren Corp,1,1
29,AAL,American Airlines Group,1,1
30,AEP,American Electric Power,1,1
31,AXP,American Express Co,1,1
32,AIG,American International Group,1,1
33,AMT,American Tower Corp.,1,1
34,AWK,American Water Works Company Inc,1,1
35,AMP,Ameriprise Financial,1,1
36,ABC,AmerisourceBergen Corp,1,1
37,AME,AMETEK Inc.,1,1
38,AMGN,Amgen Inc.,1,1
39,APH,Amphenol Corp,1,1
40,ADI,"Analog Devices, Inc.",1,1
41,ANSS,ANSYS,1,1
42,ANTM,Anthem,1,1
43,AON,Aon plc,1,1
44,AOS,A.O. Smith Corp,1,1
45,APA,Apache Corporation,1,1
46,AIV,Apartment Investment & Management,1,1
47,AAPL,Apple Inc.,1,1
48,AMAT,Applied Materials Inc.,1,1
49,APTV,Aptiv PLC,1,1
50,ADM,Archer-Daniels-Midland Co,1,1
51,ANET,Arista Networks,1,1
52,AJG,Arthur J. Gallagher & Co.,1,1
53,AIZ,Assurant,1,1
54,T,AT&T Inc.,1,1
55,ATO,Atmos Energy,1,1
56,ADSK,Autodesk Inc.,1,1
57,ADP,Automatic Data Processing,1,1
58,AZO,AutoZone Inc,1,1
59,AVB,AvalonBay Communities,1,1
60,AVY,Avery Dennison Corp,1,1
61,BKR,Baker Hughes Co,1,1
62,BLL,Ball Corp,1,1
63,BAC,Bank of America Corp,1,1
64,BK,The Bank of New York Mellon,1,1
65,BAX,Baxter International Inc.,1,1
66,BDX,Becton Dickinson,1,1
67,BBY,Best Buy Co. Inc.,1,1
68,BIO,Bio-Rad Laboratories,1,1
69,BIIB,Biogen Inc.,1,1
70,BLK,BlackRock,1,1
71,BA,Boeing Company,1,1
72,BKNG,Booking Holdings Inc,1,1
73,BWA,BorgWarner,1,1
74,BXP,Boston Properties,1,1
75,BSX,Boston Scientific,1,1
76,BMY,Bristol-Myers Squibb,1,1
77,AVGO,Broadcom Inc.,1,1
78,BR,Broadridge Financial Solutions,1,1
79,CHRW,C. H. Robinson Worldwide,1,1
80,COG,Cabot Oil & Gas,1,1
81,CDNS,Cadence Design Systems,1,1
82,CPB,Campbell Soup,1,1
83,COF,Capital One Financial,1,1
84,CAH,Cardinal Health Inc.,1,1
85,KMX,Carmax Inc,1,1
86,CCL,Carnival Corp.,1,1
87,CARR,Carrier Global,1,1
88,CTLT,Catalent,1,1
89,CAT,Caterpillar Inc.,1,1
90,CBOE,Cboe Global Markets,1,1
91,CBRE,CBRE Group,1,1
92,CDW,CDW,1,1
93,CE,Celanese,1,1
94,CNC,Centene Corporation,1,1
95,CNP,CenterPoint Energy,1,1
96,CERN,Cerner,1,1
97,CF,CF Industries Holdings Inc,1,1
98,SCHW,Charles Schwab Corporation,1,1
99,CHTR,Charter Communications,1,1
100,CVX,Chevron Corp.,1,1
101,CMG,Chipotle Mexican Grill,1,1
102,CB,Chubb Limited,1,1
103,CHD,Church & Dwight,1,1
104,CI,CIGNA Corp.,1,1
105,CINF,Cincinnati Financial,1,1
106,CTAS,Cintas Corporation,1,1
107,CSCO,Cisco Systems,1,1
108,C,Citigroup Inc.,1,1
109,CFG,Citizens Financial Group,1,1
110,CTXS,Citrix Systems,1,1
111,CLX,The Clorox Company,1,1
112,CME,CME Group Inc.,1,1
113,CMS,CMS Energy,1,1
114,KO,Coca-Cola Company,1,1
115,CTSH,Cognizant Technology Solutions,1,1
116,CL,Colgate-Palmolive,1,1
117,CMCSA,Comcast Corp.,1,1
118,CMA,Comerica Inc.,1,1
119,CAG,Conagra Brands,1,1
120,CXO,Concho Resources,1,1
121,COP,ConocoPhillips,1,1
122,ED,Consolidated Edison,1,1
123,STZ,Constellation Brands,1,1
124,COO,The Cooper Companies,1,1
125,CPRT,Copart Inc,1,1
126,GLW,Corning Inc.,1,1
127,CTVA,Corteva,1,1
128,COST,Costco Wholesale Corp.,1,1
129,CCI,Crown Castle International Corp.,1,1
130,CSX,CSX Corp.,1,1
131,CMI,Cummins Inc.,1,1
132,CVS,CVS Health,1,1
133,DHI,D. R. Horton,1,1
134,DHR,Danaher Corp.,1,1
135,DRI,Darden Restaurants,1,1
136,DVA,DaVita Inc.,1,1
137,DE,Deere & Co.,1,1
138,DAL,Delta Air Lines Inc.,1,1
139,XRAY,Dentsply Sirona,1,1
140,DVN,Devon Energy,1,1
141,DXCM,DexCom,1,1
142,FANG,Diamondback Energy,1,1
143,DLR,Digital Realty Trust Inc,1,1
144,DFS,Discover Financial Services,1,1
145,DISCA,"Discovery, Inc. (Class A)",1,1
146,DISCK,"Discovery, Inc. (Class C)",1,1
147,DISH,Dish Network,1,1
148,DG,Dollar General,1,1
149,DLTR,Dollar Tree,1,1
150,D,Dominion Energy,1,1
151,DPZ,Domino's Pizza,1,1
152,DOV,Dover Corporation,1,1
153,DOW,Dow Inc.,1,1
154,DTE,DTE Energy Co.,1,1
155,DUK,Duke Energy,1,1
156,DRE,Duke Realty Corp,1,1
157,DD,DuPont de Nemours Inc,1,1
158,DXC,DXC Technology,1,1
159,EMN,Eastman Chemical,1,1
160,ETN,Eaton Corporation,1,1
161,EBAY,eBay Inc.,1,1
162,ECL,Ecolab Inc.,1,1
163,EIX,Edison Int'l,1,1
164,EW,Edwards Lifesciences,1,1
165,EA,Electronic Arts,1,1
166,EMR,Emerson Electric Company,1,1
167,ETR,Entergy Corp.,1,1
168,EOG,EOG Resources,1,1
169,EFX,Equifax Inc.,1,1
170,EQIX,Equinix,1,1
171,EQR,Equity Residential,1,1
172,ESS,"Essex Property Trust, Inc.",1,1
173,EL,Estée Lauder Companies,1,1
174,ETSY,Etsy,1,1
175,EVRG,Evergy,1,1
176,ES,Eversource Energy,1,1
177,RE,Everest Re Group Ltd.,1,1
178,EXC,Exelon Corp.,1,1
179,EXPE,Expedia Group,1,1
180,EXPD,Expeditors,1,1
181,EXR,Extra Space Storage,1,1
182,XOM,Exxon Mobil Corp.,1,1
183,FFIV,F5 Networks,1,1
184,FB,"Facebook, Inc.",1,1
185,FAST,Fastenal Co,1,1
186,FRT,Federal Realty Investment Trust,1,1
187,FDX,FedEx Corporation,1,1
188,FIS,Fidelity National Information Services,1,1
189,FITB,Fifth Third Bancorp,1,1
190,FE,FirstEnergy Corp,1,1
191,FRC,First Republic Bank,1,1
192,FISV,Fiserv Inc,1,1
193,FLT,FleetCor Technologies Inc,1,1
194,FLIR,FLIR Systems,1,1
195,FLS,Flowserve Corporation,1,1
196,FMC,FMC Corporation,1,1
197,F,Ford Motor Company,1,1
198,FTNT,Fortinet,1,1
199,FTV,Fortive Corp,1,1
200,FBHS,Fortune Brands Home & Security,1,1
201,FOXA,Fox Corporation (Class A),1,1
202,FOX,Fox Corporation (Class B),1,1
203,BEN,Franklin Resources,1,1
204,FCX,Freeport-McMoRan Inc.,1,1
205,GPS,Gap Inc.,1,1
206,GRMN,Garmin Ltd.,1,1
207,IT,Gartner Inc,1,1
208,GD,General Dynamics,1,1
209,GE,General Electric,1,1
210,GIS,General Mills,1,1
211,GM,General Motors,1,1
212,GPC,Genuine Parts,1,1
213,GILD,Gilead Sciences,1,1
214,GL,Globe Life Inc.,1,1
215,GPN,Global Payments Inc.,1,1
216,GS,Goldman Sachs Group,1,1
217,GWW,Grainger (W.W.) Inc.,1,1
218,HAL,Halliburton Co.,1,1
219,HBI,Hanesbrands Inc,1,1
220,HIG,Hartford Financial Svc.Gp.,1,1
221,HAS,Hasbro Inc.,1,1
222,HCA,HCA Healthcare,1,1
223,PEAK,Healthpeak Properties,1,1
224,HSIC,Henry Schein,1,1
225,HSY,The Hershey Company,1,1
226,HES,Hess Corporation,1,1
227,HPE,Hewlett Packard Enterprise,1,1
228,HLT,Hilton Worldwide Holdings Inc,1,1
229,HFC,HollyFrontier Corp,1,1
230,HOLX,Hologic,1,1
231,HD,Home Depot,1,1
232,HON,Honeywell Int'l Inc.,1,1
233,HRL,Hormel Foods Corp.,1,1
234,HST,Host Hotels & Resorts,1,1
235,HWM,Howmet Aerospace,1,1
236,HPQ,HP Inc.,1,1
237,HUM,Humana Inc.,1,1
238,HBAN,Huntington Bancshares,1,1
239,HII,Huntington Ingalls Industries,1,1
240,IEX,IDEX Corporation,1,1
241,IDXX,IDEXX Laboratories,1,1
242,INFO,IHS Markit Ltd.,1,1
243,ITW,Illinois Tool Works,1,1
244,ILMN,Illumina Inc,1,1
245,INCY,Incyte,1,1
246,IR,Ingersoll Rand,1,1
247,INTC,Intel Corp.,1,1
248,ICE,Intercontinental Exchange,1,1
249,IBM,International Business Machines,1,1
250,IP,International Paper,1,1
251,IPG,Interpublic Group,1,1
252,IFF,International Flavors & Fragrances,1,1
253,INTU,Intuit Inc.,1,1
254,ISRG,Intuitive Surgical Inc.,1,1
255,IVZ,Invesco Ltd.,1,1
256,IPGP,IPG Photonics Corp.,1,1
257,IQV,IQVIA Holdings Inc.,1,1
258,IRM,Iron Mountain Incorporated,1,1
259,JKHY,Jack Henry & Associates,1,1
260,J,Jacobs Engineering Group,1,1
261,JBHT,J. B. Hunt Transport Services,1,1
262,SJM,JM Smucker,1,1
263,JNJ,Johnson & Johnson,1,1
264,JCI,Johnson Controls International,1,1
265,JPM,JPMorgan Chase & Co.,1,1
266,JNPR,Juniper Networks,1,1
267,KSU,Kansas City Southern,1,1
268,K,Kellogg Co.,1,1
269,KEY,KeyCorp,1,1
270,KEYS,Keysight Technologies,1,1
271,KMB,Kimberly-Clark,1,1
272,KIM,Kimco Realty,1,1
273,KMI,Kinder Morgan,1,1
274,KLAC,KLA Corporation,1,1
275,KHC,Kraft Heinz Co,1,1
276,KR,Kroger Co.,1,1
277,LB,L Brands Inc.,1,1
278,LHX,L3Harris Technologies,1,1
279,LH,Laboratory Corp. of America Holding,1,1
280,LRCX,Lam Research,1,1
281,LW,Lamb Weston Holdings Inc,1,1
282,LVS,Las Vegas Sands,1,1
283,LEG,Leggett & Platt,1,1
284,LDOS,Leidos Holdings,1,1
285,LEN,Lennar Corp.,1,1
286,LLY,Lilly (Eli) & Co.,1,1
287,LNC,Lincoln National,1,1
288,LIN,Linde plc,1,1
289,LYV,Live Nation Entertainment,1,1
290,LKQ,LKQ Corporation,1,1
291,LMT,Lockheed Martin Corp.,1,1
292,L,Loews Corp.,1,1
293,LOW,Lowe's Cos.,1,1
294,LUMN,Lumen Technologies,1,1
295,LYB,LyondellBasell,1,1
296,MTB,M&T Bank Corp.,1,1
297,MRO,Marathon Oil Corp.,1,1
298,MPC,Marathon Petroleum,1,1
299,MKTX,MarketAxess,1,1
300,MAR,Marriott Int'l.,1,1
301,MMC,Marsh & McLennan,1,1
302,MLM,Martin Marietta Materials,1,1
303,MAS,Masco Corp.,1,1
304,MA,Mastercard Inc.,1,1
305,MKC,McCormick & Co.,1,1
306,MXIM,Maxim Integrated Products Inc,1,1
307,MCD,McDonald's Corp.,1,1
308,MCK,McKesson Corp.,1,1
309,MDT,Medtronic plc,1,1
310,MRK,Merck & Co.,1,1
311,MET,MetLife Inc.,1,1
312,MTD,Mettler Toledo,1,1
313,MGM,MGM Resorts International,1,1
314,MCHP,Microchip Technology,1,1
315,MU,Micron Technology,1,1
316,MSFT,Microsoft Corp.,1,1
317,MAA,Mid-America Apartments,1,1
318,MHK,Mohawk Industries,1,1
319,TAP,Molson Coors Beverage Company,1,1
320,MDLZ,Mondelez International,1,1
321,MNST,Monster Beverage,1,1
322,MCO,Moody's Corp,1,1
323,MS,Morgan Stanley,1,1
324,MOS,The Mosaic Company,1,1
325,MSI,Motorola Solutions Inc.,1,1
326,MSCI,MSCI Inc,1,1
327,NDAQ,"Nasdaq, Inc.",1,1
328,NOV,National Oilwell Varco Inc.,1,1
329,NTAP,NetApp,1,1
330,NFLX,Netflix Inc.,1,1
331,NWL,Newell Brands,1,1
332,NEM,Newmont Corporation,1,1
333,NWSA,News Corp. Class A,1,1
334,NWS,News Corp. Class B,1,1
335,NEE,NextEra Energy,1,1
336,NLSN,Nielsen Holdings,1,1
337,NKE,"Nike, Inc.",1,1
338,NI,NiSource Inc.,1,1
339,NSC,Norfolk Southern Corp.,1,1
340,NTRS,Northern Trust Corp.,1,1
341,NOC,Northrop Grumman,1,1
342,NLOK,NortonLifeLock,1,1
343,NCLH,Norwegian Cruise Line Holdings,1,1
344,NRG,NRG Energy,1,1
345,NUE,Nucor Corp.,1,1
346,NVDA,Nvidia Corporation,1,1
347,NVR,"NVR, Inc.",1,1
348,ORLY,O'Reilly Automotive,1,1
349,OXY,Occidental Petroleum,1,1
350,ODFL,Old Dominion Freight Line,1,1
351,OMC,Omnicom Group,1,1
352,OKE,ONEOK,1,1
353,ORCL,Oracle Corp.,1,1
354,OTIS,Otis Worldwide,1,1
355,PCAR,PACCAR Inc.,1,1
356,PKG,Packaging Corporation of America,1,1
357,PH,Parker-Hannifin,1,1
358,PAYX,Paychex Inc.,1,1
359,PAYC,Paycom,1,1
360,PYPL,PayPal,1,1
361,PNR,Pentair plc,1,1
362,PBCT,People's United Financial,1,1
363,PEP,PepsiCo Inc.,1,1
364,PKI,PerkinElmer,1,1
365,PRGO,Perrigo,1,1
366,PFE,Pfizer Inc.,1,1
367,PM,Philip Morris International,1,1
368,PSX,Phillips 66,1,1
369,PNW,Pinnacle West Capital,1,1
370,PXD,Pioneer Natural Resources,1,1
371,PNC,PNC Financial Services,1,1
372,POOL,Pool Corporation,1,1
373,PPG,PPG Industries,1,1
374,PPL,PPL Corp.,1,1
375,PFG,Principal Financial Group,1,1
376,PG,Procter & Gamble,1,1
377,PGR,Progressive Corp.,1,1
378,PLD,Prologis,1,1
379,PRU,Prudential Financial,1,1
380,PEG,Public Service Enterprise Group (PSEG),1,1
381,PSA,Public Storage,1,1
382,PHM,PulteGroup,1,1
383,PVH,PVH Corp.,1,1
384,QRVO,Qorvo,1,1
385,PWR,Quanta Services Inc.,1,1
386,QCOM,QUALCOMM Inc.,1,1
387,DGX,Quest Diagnostics,1,1
388,RL,Ralph Lauren Corporation,1,1
389,RJF,Raymond James Financial Inc.,1,1
390,RTX,Raytheon Technologies,1,1
391,O,Realty Income Corporation,1,1
392,REG,Regency Centers Corporation,1,1
393,REGN,Regeneron Pharmaceuticals,1,1
394,RF,Regions Financial Corp.,1,1
395,RSG,Republic Services Inc,1,1
396,RMD,ResMed,1,1
397,RHI,Robert Half International,1,1
398,ROK,Rockwell Automation Inc.,1,1
399,ROL,Rollins Inc.,1,1
400,ROP,Roper Technologies,1,1
401,ROST,Ross Stores,1,1
402,RCL,Royal Caribbean Group,1,1
403,SPGI,"S&P Global, Inc.",1,1
404,CRM,Salesforce.com,1,1
405,SBAC,SBA Communications,1,1
406,SLB,Schlumberger Ltd.,1,1
407,STX,Seagate Technology,1,1
408,SEE,Sealed Air,1,1
409,SRE,Sempra Energy,1,1
410,NOW,ServiceNow,1,1
411,SHW,Sherwin-Williams,1,1
412,SPG,Simon Property Group Inc,1,1
413,SWKS,Skyworks Solutions,1,1
414,SLG,SL Green Realty,1,1
415,SNA,Snap-on,1,1
416,SO,Southern Company,1,1
417,LUV,Southwest Airlines,1,1
418,SWK,Stanley Black & Decker,1,1
419,SBUX,Starbucks Corp.,1,1
420,STT,State Street Corp.,1,1
421,STE,STERIS plc,1,1
422,SYK,Stryker Corp.,1,1
423,SIVB,SVB Financial,1,1
424,SYF,Synchrony Financial,1,1
425,SNPS,Synopsys Inc.,1,1
426,SYY,Sysco Corp.,1,1
427,TMUS,T-Mobile US,1,1
428,TROW,T. Rowe Price Group,1,1
429,TTWO,Take-Two Interactive,1,1
430,TPR,"Tapestry, Inc.",1,1
431,TGT,Target Corp.,1,1
432,TEL,TE Connectivity Ltd.,1,1
433,FTI,TechnipFMC,1,1
434,TDY,Teledyne Technologies,1,1
435,TFX,Teleflex,1,1
436,TER,Teradyne,1,1
437,TXN,Texas Instruments,1,1
438,TXT,Textron Inc.,1,1
439,TMO,Thermo Fisher Scientific,1,1
440,TIF,Tiffany & Co.,1,1
441,TJX,TJX Companies Inc.,1,1
442,TSCO,Tractor Supply Company,1,1
443,TT,Trane Technologies plc,1,1
444,TDG,TransDigm Group,1,1
445,TRV,The Travelers Companies Inc.,1,1
446,TFC,Truist Financial,1,1
447,TWTR,"Twitter, Inc.",1,1
448,TYL,Tyler Technologies,1,1
449,TSN,Tyson Foods,1,1
450,UDR,"UDR, Inc.",1,1
451,ULTA,Ulta Beauty,1,1
452,USB,U.S. Bancorp,1,1
453,UAA,Under Armour (Class A),1,1
454,UA,Under Armour (Class C),1,1
455,UNP,Union Pacific Corp,1,1
456,UAL,United Airlines Holdings,1,1
457,UNH,UnitedHealth Group Inc.,1,1
458,UPS,United Parcel Service,1,1
459,URI,"United Rentals, Inc.",1,1
460,UHS,Universal Health Services,1,1
461,UNM,Unum Group,1,1
462,VLO,Valero Energy,1,1
463,VAR,Varian Medical Systems,1,1
464,VTR,Ventas Inc,1,1
465,VRSN,Verisign Inc.,1,1
466,VRSK,Verisk Analytics,1,1
467,VZ,Verizon Communications,1,1
468,VRTX,Vertex Pharmaceuticals Inc,1,1
469,VFC,VF Corporation,1,1
470,VIAC,ViacomCBS,1,1
471,VTRS,Viatris,1,1
472,V,Visa Inc.,1,1
473,VNT,Vontier,1,1
474,VNO,Vornado Realty Trust,1,1
475,VMC,Vulcan Materials,1,1
476,WRB,W. R. Berkley Corporation,1,1
477,WAB,Westinghouse Air Brake Technologies Corp,1,1
478,WMT,Walmart,1,1
479,WBA,Walgreens Boots Alliance,1,1
480,DIS,The Walt Disney Company,1,1
481,WM,Waste Management Inc.,1,1
482,WAT,Waters Corporation,1,1
483,WEC,WEC Energy Group,1,1
484,WFC,Wells Fargo,1,1
485,WELL,Welltower Inc.,1,1
486,WST,West Pharmaceutical Services,1,1
487,WDC,Western Digital,1,1
488,WU,Western Union Co,1,1
489,WRK,WestRock,1,1
490,WY,Weyerhaeuser,1,1
491,WHR,Whirlpool Corp.,1,1
492,WMB,Williams Companies,1,1
493,WLTW,Willis Towers Watson,1,1
494,WYNN,Wynn Resorts Ltd,1,1
495,XEL,Xcel Energy Inc,1,1
496,XRX,Xerox,1,1
497,XLNX,Xilinx,1,1
498,XYL,Xylem Inc.,1,1
499,YUM,Yum! Brands Inc,1,1
500,ZBRA,Zebra Technologies,1,1
501,ZBH,Zimmer Biomet,1,1
502,ZION,Zions Bancorp,1,1
503,ZTS,Zoetis,1,1
